question,category,difficulty
Explain the vanishing gradient problem. (Q405),Deep Learning,Medium
What are Type I and Type II errors? (Q783),Statistics,Medium
How does backpropagation work in deep neural networks? (Q918),Deep Learning,Hard
What is Bayesian inference? (Q743),Statistics,Hard
Explain the central limit theorem. (Q86),Statistics,Medium
How do ensemble methods like Random Forests and Gradient Boosting differ? (Q571),Machine Learning,Hard
What is the difference between classification and regression? (Q831),Machine Learning,Easy
What are the differences between GRU and LSTM units? (Q690),Deep Learning,Hard
How does backpropagation work in deep neural networks? (Q17),Deep Learning,Hard
How do ensemble methods like Random Forests and Gradient Boosting differ? (Q780),Machine Learning,Hard
Name three types of machine learning algorithms. (Q662),Machine Learning,Easy
What is the difference between population and sample? (Q129),Statistics,Easy
How do you interpret a confidence interval? (Q672),Statistics,Hard
What are Type I and Type II errors? (Q711),Statistics,Medium
What is the role of an activation function? (Q741),Deep Learning,Easy
"What is the mean, median, and mode? (Q935)",Statistics,Easy
Explain how a decision tree works. (Q519),Machine Learning,Medium
Explain how a decision tree works. (Q76),Machine Learning,Medium
How does backpropagation work in deep neural networks? (Q425),Deep Learning,Hard
What is cross-validation and why is it important? (Q846),Machine Learning,Medium
What are the differences between GRU and LSTM units? (Q598),Deep Learning,Hard
Explain the kernel trick in SVMs. (Q700),Machine Learning,Hard
What is the difference between classification and regression? (Q627),Machine Learning,Easy
What is Bayesian inference? (Q769),Statistics,Hard
How do ensemble methods like Random Forests and Gradient Boosting differ? (Q140),Machine Learning,Hard
What is the difference between classification and regression? (Q857),Machine Learning,Easy
What is the role of an activation function? (Q708),Deep Learning,Easy
Name three types of machine learning algorithms. (Q889),Machine Learning,Easy
What are convolutional neural networks (CNNs) used for? (Q260),Deep Learning,Medium
What is transfer learning and when would you use it? (Q662),Deep Learning,Medium
What is cross-validation and why is it important? (Q295),Machine Learning,Medium
What are convolutional neural networks (CNNs) used for? (Q309),Deep Learning,Medium
What is hypothesis testing? (Q414),Statistics,Medium
Explain the central limit theorem. (Q990),Statistics,Medium
How do ensemble methods like Random Forests and Gradient Boosting differ? (Q559),Machine Learning,Hard
What is hypothesis testing? (Q857),Statistics,Medium
Explain how a decision tree works. (Q38),Machine Learning,Medium
What is a neural network? (Q384),Deep Learning,Easy
How does backpropagation work in deep neural networks? (Q522),Deep Learning,Hard
Explain the kernel trick in SVMs. (Q239),Machine Learning,Hard
What is Bayesian inference? (Q139),Statistics,Hard
What is Bayesian inference? (Q220),Statistics,Hard
What is the role of an activation function? (Q807),Deep Learning,Easy
What is cross-validation and why is it important? (Q483),Machine Learning,Medium
What is transfer learning and when would you use it? (Q554),Deep Learning,Medium
Explain the vanishing gradient problem. (Q236),Deep Learning,Medium
What is a neural network? (Q93),Deep Learning,Easy
What are the differences between GRU and LSTM units? (Q581),Deep Learning,Hard
What is the difference between classification and regression? (Q560),Machine Learning,Easy
What is the difference between classification and regression? (Q937),Machine Learning,Easy
What is overfitting in deep learning? (Q148),Deep Learning,Easy
What is the bias-variance tradeoff? (Q949),Machine Learning,Hard
What are the differences between GRU and LSTM units? (Q46),Deep Learning,Hard
What is transfer learning and when would you use it? (Q457),Deep Learning,Medium
What is supervised learning? (Q261),Machine Learning,Easy
Name three types of machine learning algorithms. (Q596),Machine Learning,Easy
Explain how a decision tree works. (Q445),Machine Learning,Medium
What is hypothesis testing? (Q324),Statistics,Medium
What is regularization and what are L1 and L2 penalties? (Q724),Machine Learning,Medium
What are the differences between GRU and LSTM units? (Q213),Deep Learning,Hard
What is regularization and what are L1 and L2 penalties? (Q195),Machine Learning,Medium
Explain maximum likelihood estimation. (Q376),Statistics,Hard
Explain maximum likelihood estimation. (Q758),Statistics,Hard
What is the role of an activation function? (Q160),Deep Learning,Easy
Explain the kernel trick in SVMs. (Q959),Machine Learning,Hard
What is the role of an activation function? (Q253),Deep Learning,Easy
What is transfer learning and when would you use it? (Q20),Deep Learning,Medium
Explain how a decision tree works. (Q584),Machine Learning,Medium
What is the bias-variance tradeoff? (Q197),Machine Learning,Hard
"What is the mean, median, and mode? (Q150)",Statistics,Easy
What is overfitting in deep learning? (Q472),Deep Learning,Easy
Explain the architecture and benefits of Transformer models. (Q581),Deep Learning,Hard
"What is the mean, median, and mode? (Q428)",Statistics,Easy
What are convolutional neural networks (CNNs) used for? (Q300),Deep Learning,Medium
What is cross-validation and why is it important? (Q496),Machine Learning,Medium
What is transfer learning and when would you use it? (Q685),Deep Learning,Medium
What is transfer learning and when would you use it? (Q915),Deep Learning,Medium
Explain the vanishing gradient problem. (Q830),Deep Learning,Medium
What is a p-value? (Q803),Statistics,Easy
